id,name,label
node_000001,$OUTPUT global,CodeStructure
node_000002,$PAGE context,CodeStructure
node_000003,.NET Framework,ArchPattern
node_000004,.jar Files,CodeStructure
node_000005,1D Layout,DesignPattern
node_000006,2D Layout,DesignPattern
node_000007,3D Layout,DesignPattern
node_000008,3NF Compliance,DesignPrinciple
node_000009,4+1 View Model,ArchPattern
node_000010,4D Layout,DesignPattern
node_000011,4X Game Design,DDDConcept
node_000012,4X Game Formula,ArchPattern
node_000013,<<include>> Link,DesignPattern
node_000014,@font-face,DesignPattern
node_000015,A vs I Graph,ArchPattern
node_000016,A/B Testing,QualityAttribute
node_000017,AA,QualityAttribute
node_000018,AADL,ArchPattern
node_000019,AAF,QualityAttribute
node_000020,AAM,QualityAttribute
node_000021,ABI (Application Binary Interface),QualityAttribute
node_000022,ABI Compatibility,QualityAttribute
node_000023,ABSTRACT FACTORY,DesignPattern
node_000024,ACE_Message_Block,CodeStructure
node_000025,ACE_Message_Queue,CodeStructure
node_000026,ACID Model,ArchPattern
node_000027,ACID Properties,DesignPrinciple
node_000028,ACID consistency model,QualityAttribute
node_000029,ADAPTER,DesignPattern
node_000030,AI Clients,DDDConcept
node_000031,AMQP Standard,CodeStructure
node_000032,API,CodeStructure
node_000033,API Access,CodeStructure
node_000034,API Access Facade,CodeStructure
node_000035,API Design,CodeStructure
node_000036,API Design,DesignPrinciple
node_000037,API Gateway,CodeStructure
node_000038,API Layer,ArchPattern
node_000039,API Layer,CodeStructure
node_000040,API Request,CodeStructure
node_000041,API and Toolkit,CodeStructure
node_000042,API for Testing Business Rules,CodeStructure
node_000043,APIs and Development Tools,CodeStructure
node_000044,ASCII7Stream,CodeStructure
node_000045,ASCIIConverter,CodeStructure
node_000046,AST (Abstract Syntax Tree),CodeStructure
node_000047,AST Node,CodeStructure
node_000048,ATAM,ArchPattern
node_000049,ATM Network,CodeStructure
node_000050,Above the Fold,DesignPrinciple
node_000051,AbsoluteLayout,DesignPattern
node_000052,Abstract Class,CodeStructure
node_000053,Abstract Classes,CodeStructure
node_000054,Abstract Common Services,DesignPattern
node_000055,Abstract Common Services Tactic,DesignPrinciple
node_000056,Abstract Components,CodeStructure
node_000057,Abstract Data Type (ADT),CodeStructure
node_000058,Abstract Decorator Class,CodeStructure
node_000059,Abstract Factory,DesignPattern
node_000060,Abstract Factory Design Pattern,DesignPattern
node_000061,Abstract Factory Pattern,DesignPattern
node_000062,Abstract Queue Class,CodeStructure
node_000063,Abstract Server,DesignPattern
node_000064,Abstract State Class,CodeStructure
node_000065,Abstract Syntax Tree,CodeStructure
node_000066,Abstract Syntax Tree (AST),CodeStructure
node_000067,Abstract Window Class,CodeStructure
node_000068,Abstract interface design,CodeStructure
node_000069,AbstractBuilder Class,CodeStructure
node_000070,AbstractClass,CodeStructure
node_000071,AbstractDuckFactory,DesignPattern
node_000072,AbstractExpression,CodeStructure
node_000073,AbstractFactory,DesignPattern
node_000074,AbstractIterator,CodeStructure
node_000075,AbstractList,CodeStructure
node_000076,AbstractNode.draw,CodeStructure
node_000077,AbstractProductA,CodeStructure
node_000078,Abstraction,CodeStructure
node_000079,Abstraction,DDDConcept
node_000080,Abstraction,DesignPrinciple
node_000081,Abstraction,QualityAttribute
node_000082,Abstraction Component,CodeStructure
node_000083,Abstraction Layer,ArchPattern
node_000084,Abstraction Layer,DesignPattern
node_000085,Abstraction Layer,DesignPrinciple
node_000086,Abstraction Layer Architecture,ArchPattern
node_000087,Abstraction Principle,DesignPrinciple
node_000088,Abstraction and Information Hiding,DesignPrinciple
node_000089,Abstraction in Interfaces,DesignPrinciple
