node_type,name,description,source,page,relevance_score,domain
Domain,ArchPattern,Domain category: ArchPattern,,,1.0,ArchPattern
Domain,CodeStructure,Domain category: CodeStructure,,,1.0,CodeStructure
Domain,DDDConcept,Domain category: DDDConcept,,,1.0,DDDConcept
Domain,DesignPattern,Domain category: DesignPattern,,,1.0,DesignPattern
Domain,DesignPrinciple,Domain category: DesignPrinciple,,,1.0,DesignPrinciple
Domain,QualityAttribute,Domain category: QualityAttribute,,,1.0,QualityAttribute
Topic,Polymorphic Open/Closed Principle,"A principle that states software entities should be open for extension but closed for modification, promoting the use of abstract base classes and interfaces.",12-design-principles.pdf,15,0.9,DesignPrinciple
Topic,Liskov Substitution Principle,A principle that ensures objects of a superclass shall be replaceable with objects of a subclass without affecting the correctness of the program.,12-design-principles.pdf,15,0.9,DesignPrinciple
Topic,Interface Segregation Principle,"A principle that states no client should be forced to depend on methods it does not use, advocating for smaller, client-specific interfaces.;A principle that advocates for many client-specific interfaces rather than one general-purpose interface to reduce dependencies and increase cohesion.",12-design-principles.pdf,15,0.9,DesignPrinciple
Topic,Parser,"An abstract base class that defines a common interface for parsing implementations.;An abstract base class for parsing implementations, demonstrating the use of polymorphism.",12-design-principles.pdf,15,0.8,CodeStructure
Topic,ParserImplementation,"A concrete implementation of the Parser abstract class, providing specific parsing functionality.;A concrete implementation of the Parser abstract class, showcasing the use of the Open/Closed Principle.",12-design-principles.pdf,15,0.8,CodeStructure
Topic,ParserRubyImplementation,"A specific implementation of the Parser that handles parsing for Ruby language.;A specific implementation of the ParserImplementation for Ruby, illustrating the Liskov Substitution Principle.",12-design-principles.pdf,15,0.8,CodeStructure
Topic,SOLID Principles,"A set of five principles that guide object-oriented design to create systems that are easy to maintain and extend.;A set of five principles aimed at improving object-oriented design, making systems easier to maintain and extend.",12-design-principles.pdf,3,0.9,DesignPrinciple
Topic,Single Responsibility Principle (SRP),"A principle stating that a class should have only one reason to change, focusing on a single responsibility.;A principle stating that a class should have only one reason to change, promoting high cohesion and easier maintenance.",12-design-principles.pdf,3,0.9,DesignPrinciple
Topic,Open/Closed Principle (OCP),A principle that states software entities should be open for extension but closed for modification.;A principle that suggests software entities should be open for extension but closed for modification.,12-design-principles.pdf,3,0.8,DesignPrinciple
Topic,Liskov Substitution Principle (LSP),A principle that suggests objects of a superclass should be replaceable with objects of a subclass without affecting the correctness of the program.;A principle that states objects of a superclass should be replaceable with objects of a subclass without affecting the correctness of the program.,12-design-principles.pdf,3,0.8,DesignPrinciple
Topic,Interface Segregation Principle (ISP),A principle that states no client should be forced to depend on methods it does not use.;A principle that advocates for many client-specific interfaces instead of one general-purpose interface.,12-design-principles.pdf,3,0.8,DesignPrinciple
Topic,Dependency Inversion Principle (DIP),A principle that suggests high-level modules should not depend on low-level modules but both should depend on abstractions.,12-design-principles.pdf,3,0.8,DesignPrinciple
Topic,Dependency Inversion Principle,A principle that emphasizes the importance of depending on abstractions rather than concrete implementations to reduce coupling and enhance maintainability.;A principle that emphasizes depending on abstractions rather than concrete implementations to reduce coupling and enhance maintainability.,12-design-principles.pdf,25,0.9,DesignPrinciple
Topic,DRY,A principle that encourages reducing redundancy in code by avoiding duplication.;A principle that advocates for reducing redundancy in code by avoiding duplication.,12-design-principles.pdf,25,0.85,DesignPrinciple
Topic,YAGNI,"A principle that advises against adding functionality until it is necessary, promoting simplicity and maintainability.;A principle that suggests not to add functionality until it is necessary, promoting simplicity and maintainability.",12-design-principles.pdf,25,0.8,DesignPrinciple
Topic,KISS,"A principle that advocates for simplicity in design, avoiding unnecessary complexity.;A principle that encourages simplicity in design, avoiding unnecessary complexity.",12-design-principles.pdf,25,0.8,DesignPrinciple
Topic,GRASP,General Responsibility Assignment Software Patterns that guide the assignment of responsibilities in software design.,12-design-principles.pdf,25,0.75,DesignPrinciple
Topic,Maintainability,"A software quality attribute that refers to the ease with which a software system can be modified.;A software quality attribute that refers to how easily a software system can be modified to correct faults, improve performance, or adapt to a changed environment.",12-design-principles.pdf,25,0.9,QualityAttribute
Topic,Scalability,The capability of a system to handle a growing amount of work or its potential to accommodate growth.;A quality attribute that indicates the capability of a system to handle a growing amount of work or its potential to accommodate growth.,12-design-principles.pdf,25,0.85,QualityAttribute
Topic,Performance,"A measure of how efficiently a software system performs its tasks, often related to speed and resource usage.;A quality attribute that measures how efficiently a system performs its tasks, often in terms of response time and resource usage.",12-design-principles.pdf,25,0.85,QualityAttribute
Topic,Security,The degree to which a software system protects against unauthorized access and data breaches.;A quality attribute that ensures the protection of information and systems from unauthorized access and damage.,12-design-principles.pdf,25,0.9,QualityAttribute
Topic,Reliability,The ability of a software system to consistently perform its intended functions under specified conditions.;A quality attribute that refers to the ability of a system to consistently perform its intended functions under specified conditions.,12-design-principles.pdf,25,0.85,QualityAttribute
Topic,HTTP Request Handler,"A class that combines the functionality of reading and parsing HTTP requests, improving information hiding and simplifying the interface.",a philosphy of SD.pdf,44,0.9,CodeStructure
Topic,Temporal Decomposition,A design approach that separates functionality into distinct classes based on the sequence of operations.,a philosphy of SD.pdf,44,0.7,DesignPrinciple
Topic,Information Hiding,A principle that suggests encapsulating knowledge within a class to reduce dependencies and complexity.,a philosphy of SD.pdf,44,0.8,DesignPrinciple
Topic,Module Interface,"Defines the formal and informal aspects of a module's interface, including public methods and variables.;Defines the signatures for all public methods and variables of a module, including both formal and informal elements.",a philosphy of SD.pdf,33,0.9,CodeStructure
Topic,Abstraction,"A simplified view of an entity that omits unimportant details, facilitating easier manipulation of complex systems.",a philosphy of SD.pdf,33,0.85,DesignPrinciple
Topic,Cognitive Load,"The mental effort required to use an abstraction; lower cognitive load is desirable for better usability.;The mental effort required to understand and use an abstraction, which can be increased by unnecessary complexity.",a philosphy of SD.pdf,33,0.75,QualityAttribute
Topic,False Abstraction,"An abstraction that omits important details, leading to obscurity and incorrect usage.",a philosphy of SD.pdf,33,0.8,DesignPrinciple
Topic,Special-Purpose Module,"A module tailored to meet specific current needs, potentially requiring refactoring for future use.;A module focused on specific current needs, potentially leading to easier implementation but less flexibility.",a philosphy of SD.pdf,50,0.8,CodeStructure
Topic,Interface Design,The design of module interfaces that should be general enough to support multiple uses while being easy to use for current needs.,a philosphy of SD.pdf,50,0.85,CodeStructure
Topic,Text Management Class,A class responsible for managing the underlying text of a file in a text editor application.,a philosphy of SD.pdf,50,0.7,CodeStructure
Topic,Unix I/O Interface,"A complex implementation that handles file representation, access, and permissions in Unix systems.;A complex implementation that handles file representation, access, and permissions in a Unix-like operating system.",a philosphy of SD.pdf,36,0.9,CodeStructure
Topic,Garbage Collector,"A deep module that automatically reclaims unused memory, simplifying memory management for programmers.",a philosphy of SD.pdf,36,0.85,CodeStructure
Topic,Shallow Module,"A module whose interface complexity is high relative to its functionality, making it less effective in managing complexity.",a philosphy of SD.pdf,36,0.7,CodeStructure
