id,source,target,relationship_type
rel_000001,$OUTPUT global,$PAGE context,DEPENDS_ON
rel_000002,.NET Framework,Component Framework,IMPLEMENTS
rel_000003,.jar Files,Shared Libraries,PART_OF
rel_000004,4+1 View Model,Architecture Description Language (ADL),RELATES_TO
rel_000005,4X Game Formula,Planet Object,PART_OF
rel_000006,@font-face,Web-safe fonts,RELATES_TO
rel_000007,A/B Testing,Rolling Upgrade,RELATES_TO
rel_000008,AADL,SysML,RELATES_TO
rel_000009,AAM,AA,CONTAINS
rel_000010,AAM,AAF,CONTAINS
rel_000011,AAM,SU,CONTAINS
rel_000012,ABI Compatibility,Extensibility,DEPENDS_ON
rel_000013,ACE_Message_Queue,ACE_Message_Block,CONTAINS
rel_000014,API,BSD Sockets API,IMPLEMENTS
rel_000015,API,Maintainability,RELATES_TO
rel_000016,API,Performance Optimization,RELATES_TO
rel_000017,API,User Interface,RELATES_TO
rel_000018,API Access,Dynamic Discovery Service,DEPENDS_ON
rel_000019,API Access Facade,Layered Architecture,PART_OF
rel_000020,API Design,Maintainability,DEPENDS_ON
rel_000021,API Design,Scalability,DEPENDS_ON
rel_000022,API Layer,Microservices Architecture,RELATES_TO
rel_000023,API Request,Service Interface,DEPENDS_ON
rel_000024,API and Toolkit,Security Protocols,RELATES_TO
rel_000025,API for Testing Business Rules,Design for Testability,IMPLEMENTS
rel_000026,ASCIIConverter,ConcreteBuilder,IMPLEMENTS
rel_000027,ATM Network,Availability,RELATES_TO
rel_000028,Above the Fold,Render Blocking Resources,RELATES_TO
rel_000029,AbsoluteLayout,JComponent,RELATES_TO
rel_000030,Abstract Class,Class Inheritance,PART_OF
rel_000031,Abstract Class,Composite,PART_OF
rel_000032,Abstract Class,Inheritance,RELATES_TO
rel_000033,Abstract Class,Polymorphism,RELATES_TO
rel_000034,Abstract Classes,Dependency Inversion Principle,IMPLEMENTS
rel_000035,Abstract Classes,Open/Closed Principle,IMPLEMENTS
rel_000036,Abstract Common Services,Intermediary,IMPLEMENTS
rel_000037,Abstract Common Services Tactic,Modifiability,RELATES_TO
rel_000038,Abstract Components,Flexible Component,DEPENDS_ON
rel_000039,Abstract Factory,Adapter,RELATES_TO
rel_000040,Abstract Factory,Builder,RELATES_TO
rel_000041,Abstract Factory,Builder Pattern,RELATES_TO
rel_000042,Abstract Factory,ConcreteFactory,RELATES_TO
rel_000043,Abstract Factory,ConcreteFactory1,IMPLEMENTS
rel_000044,Abstract Factory,ConcreteFactory1,PART_OF
rel_000045,Abstract Factory,ConcreteFactory2,IMPLEMENTS
rel_000046,Abstract Factory,ConcreteFactory2,PART_OF
rel_000047,Abstract Factory,Creational Pattern,RELATES_TO
rel_000048,Abstract Factory,Dependency Inversion Principle,IMPLEMENTS
rel_000049,Abstract Factory,Design Anti-Patterns,DEPENDS_ON
rel_000050,Abstract Factory,Equipment,IMPLEMENTS
rel_000051,Abstract Factory,Factory Method,IMPLEMENTS
rel_000052,Abstract Factory,Factory Method,RELATES_TO
rel_000053,Abstract Factory,GUIFactory,RELATES_TO
rel_000054,Abstract Factory,Ingredient Factory,IMPLEMENTS
rel_000055,Abstract Factory,Look,IMPLEMENTS
rel_000056,Abstract Factory,Modular Design,RELATES_TO
rel_000057,Abstract Factory,Prototype,RELATES_TO
rel_000058,Abstract Factory,Room,IMPLEMENTS
rel_000059,Abstract Factory,ServiceFactory Interface,RELATES_TO
rel_000060,Abstract Factory,Singleton,IMPLEMENTS
rel_000061,Abstract Factory,Singleton,RELATES_TO
rel_000062,Abstract Factory,WidgetFactory,IMPLEMENTS
rel_000063,Abstract Factory Pattern,Creational Pattern,IMPLEMENTS
rel_000064,Abstract Factory Pattern,Factory Method Pattern,RELATES_TO
rel_000065,Abstract Queue Class,Queue,PART_OF
rel_000066,Abstract Syntax Tree (AST),Data Access Layer API,DEPENDS_ON
rel_000067,Abstract Syntax Tree (AST),GADTs,IMPLEMENTS
rel_000068,Abstract Syntax Tree (AST),Lazy Loading,IMPLEMENTS
rel_000069,Abstract Syntax Tree (AST),Lazy Loading,RELATES_TO
rel_000070,Abstract Syntax Tree (AST),Type Families,IMPLEMENTS
rel_000071,Abstract Window Class,Application Window,PART_OF
rel_000072,Abstract Window Class,Dialog Window,PART_OF
rel_000073,Abstract Window Class,Icon Window,PART_OF
rel_000074,Abstract interface design,RESTful services,IMPLEMENTS
rel_000075,Abstract interface design,SOAP-based services,IMPLEMENTS
rel_000076,AbstractClass,ConcreteClass,DEPENDS_ON
rel_000077,AbstractClass,Hook Operation,CONTAINS
rel_000078,AbstractDuckFactory,CountingDuckFactory,IMPLEMENTS
rel_000079,AbstractDuckFactory,DuckFactory,IMPLEMENTS
rel_000080,AbstractFactory,FactoryMethod,IMPLEMENTS
rel_000081,AbstractFactory,Singleton,IMPLEMENTS
rel_000082,AbstractIterator,ListIterator,PART_OF
rel_000083,AbstractList,Iterator,CONTAINS
rel_000084,AbstractList,Iterator,RELATES_TO
rel_000085,AbstractList,List,PART_OF
rel_000086,AbstractList,SkipList,PART_OF
rel_000087,AbstractNode.draw,Java2D Library,DEPENDS_ON
rel_000088,Abstraction,Behavioral Perspective,RELATES_TO
rel_000089,Abstraction,Cognitive Load,DEPENDS_ON
rel_000090,Abstraction,Component Software,RELATES_TO
rel_000091,Abstraction,Concurrency Strategy,RELATES_TO
rel_000092,Abstraction,Data Abstraction,RELATES_TO
rel_000093,Abstraction,Documentation Comments,RELATES_TO
rel_000094,Abstraction,Encapsulation,RELATES_TO
rel_000095,Abstraction,External Perspective,RELATES_TO
rel_000096,Abstraction,False Abstraction,CONTAINS
rel_000097,Abstraction,False Abstraction,RELATES_TO
rel_000098,Abstraction,Implementor,DEPENDS_ON
rel_000099,Abstraction,Information Hiding,RELATES_TO
rel_000100,Abstraction,Interaction Perspective,RELATES_TO
